codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),probabilidade_risco,nascidos_vivos,indice_urgencia
420540,BCG,0.1386154855643044,-0.1320988001499813,57.0,0.0,58059.36959593158,0.9,True,False,False,False,0.8337559839645666,6096.0,5082.576478247998
520140,BCG,0.7962462867944909,0.12651512646575436,55.0,1.0,39577.672055112205,0.9,True,False,False,False,0.6770455736985787,7406.0,5014.199518811673
130260,Hepatite B,1.4525936994907138,-0.07993385116694696,261.0,13.0,61855.15113953701,0.95,False,True,False,False,0.15250044996741566,32791.0,5000.642254881527
230440,Hepatite B,1.1813794068270844,0.1838682072252924,138.0,11.0,35796.741312665006,0.95,False,True,False,False,0.1705987099584239,28592.0,4877.7583151312565
320520,Poliomielite (3ª dose),0.7547303271441202,-0.111372302982788,36.0,1.0,42143.25603670556,0.95,False,False,True,False,0.8465579999669037,5655.0,4787.285489812841
250400,Poliomielite (3ª dose),0.7913959613696224,-0.1596659038196666,103.0,5.0,30780.613716948155,0.95,False,False,True,False,0.839625184334288,5695.0,4781.6654247837705
150080,Poliomielite (3ª dose),0.9065420560747663,-0.17766296484573574,73.0,7.0,23964.96288467724,0.95,False,False,True,False,0.816449156877747,5778.0,4717.4432284396225
150680,Hepatite B,0.9107172436640716,0.1104511535260373,75.0,8.0,26154.7770393623,0.95,False,True,False,False,0.7702232831710257,6037.0,4649.8379605034825
330170,BCG,0.9103116031160312,0.04280243067412337,83.0,29.0,86700.55471620135,0.9,True,False,False,False,0.47560844406527414,9756.0,4640.035980300814
310670,Poliomielite (3ª dose),0.8409354464630846,0.0502616584597978,43.0,0.0,127752.42444991576,0.95,False,False,True,False,0.8963312196128176,5174.0,4637.617730276718
260410,Poliomielite (3ª dose),0.8311803220668909,-0.12851693431910716,76.0,1.0,29727.531953614354,0.95,False,False,True,False,0.820263230467576,5651.0,4635.307515372272
313670,Poliomielite (3ª dose),0.6741442660994005,-0.10247655904794728,62.0,10.0,43035.35605707565,0.95,False,False,True,False,0.8903809862829956,5171.0,4604.16008006937
320520,Hepatite B,0.7370468611847922,-0.041323563681862185,36.0,1.0,42143.25603670556,0.95,False,True,False,False,0.8104091874847608,5655.0,4582.863955226322
110020,Hepatite B,0.8333851897946484,0.06773458343607741,61.0,20.0,55170.106899142986,0.95,False,True,False,False,0.712793378012194,6428.0,4581.835833862383
330045,Hepatite B,0.0866719555731852,0.0036891639861871967,58.0,1.0,20050.92043462151,0.95,False,True,False,False,0.9073156092535112,5042.0,4574.685301856203
520870,Tríplice viral (D1),1.2097702724930095,0.15279307452233426,107.0,0.0,52722.02487049228,0.95,False,False,False,True,0.24840370060843658,18239.0,4530.635095397275
330045,BCG,0.1310987703292344,-0.036205244967132705,58.0,1.0,20050.92043462151,0.9,True,False,False,False,0.8915861351856155,5042.0,4495.377293605873
314330,Poliomielite (3ª dose),0.8085618977020015,-0.055951765588654,140.0,0.0,32170.33362302047,0.95,False,False,True,False,0.8316939939033117,5396.0,4487.82079110227
150080,BCG,0.843717549325026,-0.15279570032629886,73.0,7.0,23964.96288467724,0.9,True,False,False,False,0.7670711625513564,5778.0,4432.137177221737
172100,Poliomielite (3ª dose),0.7649109217660728,-0.149793088418523,51.0,1.0,46808.20437936913,0.95,False,False,True,False,0.8497432573690983,5164.0,4388.074181054024
