codigo_municipio_pni,vacina,cobertura_ano_anterior,tendencia,num_ubs,num_postos_saude,pib_per_capita,meta,vacina_BCG,vacina_Hepatite B,vacina_Poliomielite (3ª dose),vacina_Tríplice viral (D1),cobertura_prevista_2026,deficit_cobertura,nascidos_vivos,criancas_sem_vacina_estimado
420880,Hepatite B,0.8297872340425532,-0.0005376757047392822,14.0,0.0,43552.68711656442,0.95,False,True,False,False,0.8022348766300361,0.14776512336996384,282.0,42
314085,Hepatite B,0.6551724137931034,-0.03655690951516721,6.0,1.0,22549.634626194493,0.95,False,True,False,False,0.5852277964704554,0.36477220352954454,116.0,42
221135,BCG,0.3,-0.4777777777777778,3.0,1.0,12036.79525222552,0.9,True,False,False,False,0.2965199207216616,0.6034800792783384,70.0,42
251615,BCG,0.037037037037037,-0.16666666666666669,2.0,0.0,14282.511210762332,0.9,True,False,False,False,0.12237103542175368,0.7776289645782464,54.0,42
431405,BCG,0.8609550561797753,-0.0851090837619155,14.0,2.0,33150.447577701794,0.9,True,False,False,False,0.8407090217233527,0.05929097827664731,712.0,42
314830,Hepatite B,0.3043478260869565,-0.150197628458498,4.0,0.0,16557.68564499365,0.95,False,True,False,False,0.3341831520435276,0.6158168479564723,69.0,42
292305,BCG,0.3194444444444444,-0.22403381642512077,1.0,5.0,12267.729831144465,0.9,True,False,False,False,0.31533640540108016,0.5846635945989198,72.0,42
351660,Hepatite B,0.0392156862745098,-0.0569381598793363,4.0,0.0,34615.830721003134,0.95,False,True,False,False,0.11845569480712342,0.8315443051928766,51.0,42
260630,BCG,0.3670886075949367,-0.5576425752007621,6.0,0.0,13071.76690110521,0.9,True,False,False,False,0.3637575731815065,0.5362424268184935,79.0,42
290700,BCG,0.5480769230769231,-0.18818681318681318,4.0,1.0,16741.42259414226,0.9,True,False,False,False,0.4975227216632165,0.40247727833678354,104.0,42
310910,Hepatite B,0.4888888888888889,-0.2518518518518518,5.0,0.0,23528.640821189627,0.95,False,True,False,False,0.47912941165858297,0.470870588341417,90.0,42
310860,Poliomielite (3ª dose),0.785377358490566,-0.125034263785463,16.0,3.0,15947.790788446526,0.95,False,False,True,False,0.8504825063399726,0.09951749366002738,424.0,42
421175,Hepatite B,0.8418604651162791,-0.1629472271914132,6.0,2.0,73231.74676524954,0.95,False,True,False,False,0.7550924629652883,0.19490753703471164,215.0,42
313550,BCG,0.6402877697841727,0.28521530601605677,8.0,1.0,19779.531363233757,0.9,True,False,False,False,0.5987478185340838,0.30125218146591626,139.0,42
270642,Hepatite B,0.8514851485148515,-0.03621538624450682,6.0,4.0,11303.319776789936,0.95,False,True,False,False,0.7432141198915285,0.20678588010847143,202.0,42
412090,Poliomielite (3ª dose),0.7902439024390244,-0.24394413174901008,12.0,6.0,62721.87520333138,0.95,False,False,True,False,0.8467631321313934,0.10323686786860653,410.0,42
352770,BCG,0.0188679245283018,-0.6550451189499591,1.0,0.0,25060.412678153585,0.9,True,False,False,False,0.11651823999675626,0.7834817600032438,53.0,42
353180,Hepatite B,0.9739130434782608,-0.08035052241321217,12.0,0.0,93554.14308249048,0.95,False,True,False,False,0.8975385809876457,0.05246141901235424,805.0,42
231110,Hepatite B,0.8975409836065574,-0.027569148552032963,9.0,4.0,13631.554252199414,0.95,False,True,False,False,0.7792490806480388,0.17075091935196118,244.0,42
510735,BCG,0.6,-0.5465517241379311,2.0,0.0,141378.604963112,0.9,True,False,False,False,0.5868361587488216,0.31316384125117847,135.0,42
261400,Hepatite B,0.8980392156862745,-0.04505021520803443,10.0,4.0,10764.486186631517,0.95,False,True,False,False,0.7858090234918537,0.1641909765081463,255.0,42
411845,Hepatite B,0.4523809523809524,0.03968253968253971,3.0,0.0,47051.1076225362,0.95,False,True,False,False,0.45148154363944193,0.498518456360558,84.0,42
412610,Hepatite B,0.1034482758620689,0.003448275862068889,2.0,0.0,42277.14067278287,0.95,False,True,False,False,0.22742262804965993,0.72257737195034,58.0,42
150830,Hepatite B,0.960655737704918,-0.24438435393311153,25.0,0.0,14818.186464935596,0.95,False,True,False,False,0.9045395331858781,0.04546046681412186,915.0,42
292480,BCG,0.7048192771084337,-0.08176608874522484,7.0,8.0,12462.199703973583,0.9,True,False,False,False,0.6461408621060543,0.25385913789394576,166.0,42
352770,Hepatite B,0.0943396226415094,-0.07957342083675141,1.0,0.0,25060.412678153585,0.95,False,True,False,False,0.16236048979789267,0.7876395102021073,53.0,42
430545,Hepatite B,0.773972602739726,0.06707605101558811,4.0,0.0,23836.682092437462,0.95,False,True,False,False,0.6636924086403252,0.28630759135967476,146.0,42
313700,Hepatite B,0.7028985507246377,-0.22998735531563075,5.0,0.0,11686.991587290551,0.95,False,True,False,False,0.6453438553511588,0.30465614464884117,138.0,42
310450,BCG,0.8055555555555556,-0.16218637992831542,11.0,0.0,31528.94858730894,0.9,True,False,False,False,0.7314032320642165,0.1685967679357835,252.0,42
315420,Hepatite B,0.348314606741573,0.2761496582879648,5.0,5.0,21717.542297417636,0.95,False,True,False,False,0.47515351141225537,0.4748464885877446,89.0,42
420090,Hepatite B,0.0943396226415094,-0.18225612203934166,4.0,1.0,35883.16536020903,0.95,False,True,False,False,0.16680497944040965,0.7831950205595903,53.0,42
313065,BCG,0.25,0.08076923076923079,5.0,2.0,15257.642609517809,0.9,True,False,False,False,0.31838533288897014,0.5816146671110298,72.0,42
260845,BCG,0.8186046511627907,-0.2321567701570062,11.0,5.0,18237.083588232024,0.9,True,False,False,False,0.7027251208493641,0.1972748791506359,215.0,42
210160,Tríplice viral (D1),0.8295292439372325,-0.1097538577452839,30.0,1.0,13698.12615340936,0.95,False,False,False,True,0.9196915690249255,0.030308430975074407,1402.0,42
220480,Hepatite B,0.4024390243902439,-0.027940722445199073,5.0,6.0,10805.732484076432,0.95,False,True,False,False,0.4331158651012469,0.5168841348987531,82.0,42
